ID,Contents,Result
0,"@NPR You mean the “scientist” who ran with gene editing without extensive testing and analysis isn’t tremendously precise or careful? Ya, don’t say!",1
1,How soon will CRISPR gene-edited babies come to the US? https://t.co/7ixAf2V8rb #HealthPolicy,1
2,"@NPR People can scream about gene editing all they want but when has what's right preventing the advance of technology. As soon as they prove they can safely delete deleterious genes, every soccer mom is going to get their fetus' genes analyzed and ""fixed"". This is going to happen.",1
3,"He works for a Pu Tian Xi hospital. I won't be surprised if this ""doctor"" did gene editing using meat cleaver. https://t.co/KhxfQ7IqVH",1
4,Genetic disorders must be the level of interest of CRISPR gene editing trials https://t.co/Cb8HYMxIlE https://t.co/dLX77jGbx4,1
5,"""Perhaps more worrisome, his attempt to use the powerful gene-editing tool CRISPR appeared to create unintended mutations in their DNA that could harm their health."" Outrage Intensifies Over Claims Of Gene-Edited Babies https://t.co/ZrsOAm8lVG",1
6,"""...first successful genetically modified humans"" How do they define success? And how many ""unsuccessful"" genetically modified humans have they created? Gene Editing and “Genetically Modified Humans”: China’s “Golem Babies”. There Is Another Agenda - https://t.co/0HD3S3sV9b",1
7,It appears precision is a necessity in gene editing procedures. Unintended consequences are such a drag when you want to be the first one out of the gate. Scientists have many motivations too... https://t.co/vYOM1WRcqg,0
8,WTF: The U.S. military is using genetic engineering to alter life forms to detect enemy submarines https://t.co/gBxzMIeNKI,1
9,Gene Editing and the Brave New World | New Oxford Review https://t.co/UH2ENmEZz1,0
10,What problems will be raised by Gene-Editing technology? by Sohan Modak https://t.co/hM3qc81km4,0
11,"@DavidDeutschOxf @trishankkarthik @Marcellenassif @hugowiz You’re assuming that all of this understanding that we’ve achieved is good for us. Forget about thermo nuclear war, AI, and gene editing for a minute, and consider the possibility that maybe, we don’t quite “understand” what’s really going on?",1
12,"[News] ""From gene editing to AI, how will technology transform humanity?"" https://t.co/GkMdmdlmFQ #AI #KIF",0
13,"RT @durutti74: Vote ""Genetic engineering"". This song was my Starman on TOTP moment. It needs more votes. https://t.co/v1W4mtdp3D",1
14,RT @individualpttrn: Very happy to share our first paper on genome editing by CRISPR-Cas9. Deletion and reconstruction with targeted insertion of the DFR gene in tomato through HDR. The DFR locus: A smartlanding pad for targeted transgene insertion in tomato https://t.co/LrukBk4QyV,1
15,The controversial Chinese doctor who made headlines last week with claims that he'd successfully edited the genes of unborn babies is now believed to be missing... https://t.co/lKFXwl02Wihttps://t.co/dZy5uE5znh,0
16,The first #gene edited babies' development involves complex ethical questions. Read @harvardmed's Dean of Faculty of Medicine @G_Q_Daley weigh in: https://t.co/xD1R6MdiZF https://t.co/3eFw0pRd7o,1
17,RT @AmyHafez: .@DukeSci_Soc Thanks for streaming the #CRISPR gene-editing panel+recap of the #GeneEditing summit in Hong Kong. This panel discussed key issues including: - Transparency - Medical need + gene target choice - Technical competency - Informed consent - Ethics/Regulatory review https://t.co/I8UehrlrOW,0
18,"Publication Alert: The Roy Lab's work on a ""cut and silence"" gene-editing strategy that could be a new therapeutic paradigm for #Alzheimers. #CRISPR https://t.co/jxzGzJrRj1",1
19,"Robots, AI, gene editing. We are going to see horrible, horrible experiments happen in the coming years. The biggest ethical question we face is to destroy them or not. Because they’re definitely coming & there will be mistakes. https://t.co/FToHOYatqD",1
20,"@J_Dahlin @NPR sure, but that's not what he did. Somatic gene editing had disastrous consequences in the first participants. And this guy tricked parents into germline editing. The problem with saying the ends justify the means is that when you don't achieve the ends, you're left with the means",0
21,WHO says creating panel to study gene editing https://t.co/jRbDkTK75c,1
22,"RT @jrkelly: iGEM is the world's largest genetic engineering competition. They have helped 30,000+ kids worldwide follow their passion in biology. If you are looking for an amazing org to donate to this year -- this is it! And your donation is doubled until EOY by Tom Knight :D https://t.co/R6rfqdwb6Z",1
23,RT @DEcoTech21: What does the #Pharmaceutical industry in US really think about #GeneEditing? Their business model is mostly based on selling pills?? to patients permanently without ever curing them. Less profitable? #CRISPR #GeneTherapy #Healthcare #FDA #Genetics #DNA https://t.co/lf9pGVvFOx,0
24,Opinion | The downside of gene editing https://t.co/kLG3ReGQ5V,0
25,"@timtriche @NPR point well taken. nonetheless, it doesn’t do a reader much service to omit HOW or WHY off-target effects could be harmful, and if anything, i’d argue it fans the flames of irrational fear around gene editing rather than giving people helpful information",1
26,Making CRISPR-Cas9 gene editing safer with artificial intelligence | FierceBiotech https://t.co/X4v15pE5B7,1
27,"@PeterNHess @NPR Plenty of care was taken with somatic gene editing in the beginning and kids still died from offtarget/unexpected integration sites (usually EVI1). There's nothing irrational about being concerned, especially if yahoos like this guy are doing it WITHOUT proper care.",1
28,"Gene editing ""no silver bullet"" after Gove speech https://t.co/h65KkNIjwv",0
29,"https://t.co/shNjQcZBfk ""After being denounced by hundreds of scientists, the Chinese Government and even his own unive..."" #he jiankui #gene editing #gene modification #science. Retweet ??",1
30,RT @SynBioBeta: Winning @iGEM team uses @OpenTrons_ to create a 3x faster chassis for genetic engineering https://t.co/DxyWXXJ8wl #iGEM2018 @iGEMmarburg2018 #synbio #biotech #biotechnology,1
31,@StellarisGame @MagratheaLFR @Moah3 the good news is that the McCaffrey patch will be laser focused on dragons and genetic engineering,1
32,Chinese scientist who claimed controversial human gene editing is reportedly missing… https://t.co/Kt6l8Trlrj,0
33,Genetic Engineering Will Change Everything Forever – CRISPR https://t.co/iG3rIbPuRr via @YouTube,1
34,"They have been gene editing humans including embryos and babies for decades The late great Dr. Jack Felder stated back in the early 90s that scientists in Italy were trying to create or clone a class of half-beast, half-human to be servants",0
35,@robertjoseph There is a big difference between breeding over generations and gene editing and gene splicing which may have unintended consequences.,0
36,"@mcfunny His research was a real alternative to vaccines and he was ""neutralized"" just like Wakefield, who was ""unethically"" curing people, and Judy Mikovitz, who blew the whistle on vaccines causing cancer for decades.https://t.co/nuRHmniAv2",1
37,"RT @EsotericAcadian: @JFGariepy Gene editing is big gay, agree with you there. But I can never forgive you for your insults against ma mere's gumbo. Why would you betray your Acadienne cousins here in La Louisianne like that? You are now eternal enemy of the Cajun race until you retract your foolish statements https://t.co/ErCn5Zy1X8",1
38,RT @MedProProtector: WHO looks at standards in 'uncharted water' of gene editing https://t.co/DAhK2xlWPN via @Reuters,1
39,"@linaji @RealGeoEngWatch @YouTube I think it’s like a lot of tech it must be monitored and not weaponized but it can be beneficial like AI, gene editing and more. It comes with responsibility but shouldn’t be ruledout as an area to look at how it can help future trends",0
40,GPS on GMOs: Bananas ?? are being wiped out by a bacterial disease. Here's how changing one gene can fix that: https://t.co/DYwfWNmJJj @GMOAnswers #banana #GPS #Africa #GMO @foodevomovie #Cavendish,1
41,"To fulfill #biofuels' promise, scientists boost plant oils with gene editing - Chemical & Engineering News https://t.co/XCfLV4xYvd via @trend_slam #biofuel",1
42,"@maratnasiri @Mo_Ram6 @Imtiaz88Zahrah @Seductv Look on a serious note, IDC about MR, MS or RW. None of them have any idea about navigating the next 30 years. A world of gene editing, AI and climate change. We are in deep shit anyway",1
43,CRISPRed Food: How Gene Editing Is Expected To Change Our Crops — And Supermarket Shelves. https://t.co/56p7P7mPqF https://t.co/mj9csoLvY1,0
44,"RT @JulieCKiefer: Because #CRISPR is so inexpensive and easy to implement, it will be used in unethical ways. It is our responsibility to make policies that regulate gene editing, says David Grunwald @UofUHealth @UUtah #crisprbabies – Genetically Modified Humans via @sarahmartinnews @abc4utah https://t.co/ihbhl089qv",1
45,Gene Editing Offers Promise of Personalized Health Care -- Here's How to Play It - TheStreet https://t.co/tXLdtTk2BQ,1
46,“I have learned that health is not just CRISPR and gene editing. . . . My courses in American culture studies taught me to take a more holistic view. I understand now that culture shapes policy and policy shapeshealth outcomes.”,1
47,Wow?? Raise your hand if you thought 2018 would be a #Makers paradise for gene editing. cc: ?@doctorow? ?@ramez? https://t.co/rZ5LfFO4lN,1
48,"Yesterday's Panel on Germline editing was so informative. Loved the well-rounded discussion & points-of-view from experts in gene editing, immunology & HIV, genetic counseling and science policy. https://t.co/xEd0XeYGxR",1
49,"RT @motimizra: Join us today at 4 pm in Skurla Hall 110 for a panel discussion on gene editing and the recent news about ""the first CRISPR babies"" @FloridaTech @FlaTechResearch @sac_at_fit #CRISPRbabies #bioethics https://t.co/KMspliV9rS",1
50,"RT @milesobrien: From the #InSightLanding to #CRISPRbabies, here's my roundup of the most interesting recent #science news: https://t.co/6XbFNKOTaV",1
51,The same gene editing technology that made international headlines after a Chinese scientist used it on human embryos may show up on farm animals – eventually. https://t.co/Rit683M5Oc via @SamHorton5 https://t.co/UQowa2Je5m,1
52,@owenhawk The Ken and Barbie genetic engineering of the future.,1
53,https://t.co/8T68sFfLYt get ready for zombie apocalypse,1
54,RT @morantemm060702: Do you know how genetic engineering works? #GenéticaMásÉticaNC #genetics #genes https://t.co/knIBCuY3tU,1
55,"After the CRISPR baby news broke, official newspaper People’s Daily ran a story titled “The World’s First Gene-edited Babies Genetically Resistant to AIDS Were Born in China.” “a milestone accomplishment China .. in the area of gene-editing technologies” it said. NOW DELETED",0
56,RT @GenomeAlberta: European researchers demand science-based policy on gene editing https://t.co/6QZI7t7cXV via @ScienceAlly,1
57,Gene editing has the potential to kill off diseases (source: sfexaminer) https://t.co/FTXGmDjR4S https://t.co/fOasVykWwl,0
58,"„Over time, the ethical question will cease to be whether it is permissible to use gene editing to prevent disease. Instead, ethicists will be asking whether it is ethically permissible not to make interventions that would avoid human pain and suffering.“ https://t.co/b2sDhHfvT3",0
59,"Would also explain transhumanism, cloning, genetic engineering. Satan can't bring forth new human life, he can only recycle it and perhaps create vessels for the nonhuman spirits to inhabit.",1
60,"I think this is some good new for Humanity, on par with the 70's Asilomar Conference, where scientists, ethicists, philosophers and civic leaders came together to decide how safely steward genetic engineeringtechnology. https://t.co/mpRiOEjKKj",1
61,"Jiankui made a disastrous mistake, subjecting two new people to grave risks. The condemnation is appropriate, but more is necessary: We need a temporary moratorium on using gene editing to create babies. https://t.co/GjZ5l5mKjk great piece @pknoepfler",1
62,"https://t.co/Elp4QXydqu On the one hand, the international outcry and subsequent walk... https://t.co/Elp4QXydqu",1
63,"RT jacobinmag: For the first time in human history, we have the tools to reprogram life itself. That could be a recipe for dystopia — unless we create a scientific commons that values the public good rather than profits. https://t.co/Tbft8BrgU0",1
64,RT @NIHDirector: The work of Dr. He Jiankui presented at #GeneEditSummit is profoundly disturbing & tramples on ethical norms. We need to develop binding international consensus on limits for this research. #NIH does not support the use of gene-editing in human embryos https://t.co/6DcvuEyOkB,0
65,"@PraveenMohanET Yazhi...the Old Tiger...Puzhi... Maybe also known as Dragon But Converted into other animals Horse,Lion, Elephant and Ox Our National emblem With water Fountain from Mouth A Sign of Dispersion like Water To the Four Corners of the world Genetic engineering due to Size etc https://t.co/0gxMkh5cR5",1
66,"RT @seasonalight: Important discussion! The compulsion by some scientists (& funders) to push these boundaries on behalf of ALL LIFE without consent, is worthy of our attention. Geo AND genetic engineering, alike. #Anthropocene #symbioethics https://t.co/FG0JKDgSdp",1
67,"RT @UrnovFyodor: Two parents homozygous for ApoE4 want to do base editing of sperm given AD risk to child. Here is the clinical trial: 1/1/2020: edit sperm, fertilize. 10/1/2020: edited baby born. 1/1/2090: we see if it worked. Not being a luddite, just pragmatic. https://t.co/3pOvW5Cywj",1
68,"RT @WIREDScience: A national rebranding campaign is underway. ""Made in China,"" a label associated with cheap knock-offs and stolen intellectual property, is being replaced with ""Created in China."" The gene-editing field is a prime example of how this dynamic is playing out. https://t.co/RkX7yc8Nfu",1
69,IRBs are garbage. No such thing as ethics. smh. He used the CRISPR gene editing tool and acted as a lobe entity on such a complex issue.,0
70,"RT @hobbet: Appreciated hearing from Stanford’s Bill Hurlbut on the ethics of gene editing on ?@NPR? this morning. For more on his perspective, see the recent @Veritas talk: Drawing the Line | The Ethics of Gene Editing - The Veritas Forum - The Veritas Forum https://t.co/Jgv6wEqS2F",1
71,China scientist defends gene-editing babies as trial paused - https://t.co/J9YjcyrYA4,1
72,Genetically Modified People Are Walking Among Us https://t.co/ZGgMRYVn4e,1
73,IPR Gets a Hands-On Look at Gene-Editing Tool CRISPR https://t.co/Wpa05ByplZ @AgAmyInAmes,1
74,@NatureNews Of course it does. But we can also predict that human gene editing will be a widely accepted procedure 10 or so years from now.,1
75,We are passionate about our research and the technology we're using to perform it - especially when it comes to gene editing. #celltherapy #geneediting,1
76,"Our present technological paradox: even as #AI and gene-editing promise the possibility of radical cognitive and biological enhancement, these same technologies also undermine the human distinctiveness of qualities Westerners have considered definitional of the human. (Mark 8:36)",1
77,"Another Week Ends: Gene Editing, Political Cults, Ultrarich Scorekeeping, Medical Forgiveness, Depressed Scientists, $25 Naps, and John the Baptist https://t.co/zWrWkmF4fy via @mockingbirdmin",0
78,Gene-Editing Success Brings Pig-to-Human Transplants Closer to Reality https://t.co/TriQu62sw6,1
79,"Heard #GMOs are bad for the planet? Get the facts on the environmental impact of genetic engineering from @GMOAnswers expert Dr. Elizabeth Hood, PhD. https://t.co/Yxn7zjmWQS",1
80,"@LaTrioli @MarieCo92176893 This is frightening, Virginia. We are at risk of gene editing ourselves out of existence.",0
81,"Phew, reading up on that whole gene editing craziness in China.",1
82,The ethics of gene editing is such an interesting topic to discuss.,1
83,"On the topic of gene editing, does this open up a Tony Stark scenario? Where a doctor could be kidnapped and forced to edit genes to create ‘designer’ babies? This thought came up befause the Doctor has been found missing at the moment.",0
84,RT @TheEconomist: The era of human gene-editing may have begun. Why that is worrying https://t.co/CK7MYQDxay,0
85,Scientific American reports there has been a breakthru in cross-species transplantation of hearts.A pig's was implanted in a baboon&after++ failures&innovations like gene editing it worked for as long as 180 days. It's not science fiction.,1
86,CRISPR/Cas9: a gene-editing tool with promise and peril https://t.co/HEiKdzU0z0,1
87,"According to the USDA, certified #organic food is produced w/o conventional pesticides, petroleum-based fertilizers, sewage-sludge-based fertilizers, herbicides, genetic engineering (biotechnology), antibiotics, growth hormones, or irradiation. Learn more: https://t.co/kON7oI6si5 https://t.co/weCxgc1Lxh",1
88,People who are against Gene editing to remove mental disorders or other forms of genetically-related diseases don’t understand the pain that comes from them. One of the major reasons I don’t want to have a child is because I don’t want to pass down my mental illness.,0
89,The whole recent gene editing stuff triggers me aha,1
90,Why Scientists Are So Upset About the First Crispr Babies. https://t.co/BXZyIiPaLo,0
91,"RT @NewYorker: The Chinese scientist He Jiankui claims he helped make the world’s first genetically edited babies—something the entire gene-editing community, including the university where he works, has condemned. https://t.co/Z2R2Zh426a",1
92,@wishiwasthereMF @SCHM7DT Exactly. It’s an unfortunate backward step in evolution. Probably won’t change till we integrate our brains with AI or the masses gets access to gene editing which isn’t likely.,0
93,"Even though the world at large is going to ban gene editing babies it's gonna happen. At some future time there's gonna be Russian superbeings at the Olympics. They can't keep their hands off testable drugenhancement, you think they'll be able to pass up superbeings? Please.",1
94,"#UTSASSITN https://t.co/CsnicYMe5b To a 11th grade US history class ""How does Gene editing relate to Eugenics and/or Social Darwinism?"" and ""Do you think Gene editing should even be used to cure diseases? Is there a 'slippery slope?""",0
95,"@PhillyD So the complexity of gene editing makes it very difficult to be responsible with the tech. One example is the admirable goal of curing Huntington’s...if you remove the defective gene you see horrible sideeffects, because genes are not just used in single tasks.",0
96,RT @BryanVision: @ScottAdamsSays @lbwhiteca_bruce @businessinsider There are 100s that no economist can predict. Which model includes the next major natural disaster? The next major war? The effects of immigration? Cryptocurrency? Neural-link? Genetic engineering? Lab Grown meat? Can we really say anything about the economy in 10 years?,0
97,With human genetic engineering and near human robotic technology coming along soon. Our society will reflect little of today's standards & morals. The scope of socially acceptable will widen to the point where people will long for the simple days of the simple 250lb Tranny. https://t.co/3ag2dz7xvh,1
98,Should our children be genetically engineered?: Call for ban on germline genetic engineering of human beings B.. https://t.co/khqiP5oTtF,1
99,newscientist: Genetic disorders should be the focus of CRISPR gene editing trials https://t.co/Mp0I01J7iV https://t.co/HiGxzvGhFA,1
